id,name,latitude,longitude,sector,subsector,assetType,sourceType,pollution_type,emissionsQuantity,emissionsFactor,emissionsFactorUnits,activity,activityUnits,capacity,capacityUnits,capacityFactor,year,source_file,wte_class,waste_type,how_used,energy_generated,needed_hardware,wte_score,wte_confidence,wte_reason,second_best_wte_class,second_best_wte_score,classification_note
1293934,Luxor Subdivision,25.681186677000056,32.63053820796549,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,610.46258,5.390613117298021e-07,t of CH4 per MJ,1132454818.61994,MJ,108618506.7576,m^2,10.425984046597128,2024,egy_ch4_source.csv,,,,,,,,,,,
1293816,Al-Muntazah Subdivision,31.264167000000125,30.030454300269575,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,255.84199,9.276937509955825e-08,t of CH4 per MJ,2757828105.72385,MJ,264514896.64511997,m^2,10.425984096554773,2024,egy_ch4_source.csv,,,,,,,,,,,
1295852,Zaqaziq Subdivision,30.58800125150003,31.581364351808592,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,203.64379,7.041755005106874e-08,t of CH4 per MJ,2891946536.79817,MJ,277378760.78136,m^2,10.425984053904212,2024,egy_ch4_source.csv,,,,,,,,,,,
1293844,Al-Warraq Subdivision,30.117043679500057,31.172172097382322,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,193.64965,1.0852381446699348e-07,t of CH4 per MJ,1784397746.71666,MJ,171149096.82576,m^2,10.425984009330085,2024,egy_ch4_source.csv,,,,,,,,,,,
1293850,Kirdasah Subdivision,30.050138473500056,31.134823547548173,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,190.02228,1.1407502724131165e-07,t of CH4 per MJ,1665765808.6553102,MJ,159770607.46584,m^2,10.425984072267244,2024,egy_ch4_source.csv,,,,,,,,,,,
1293928,Qalyub Subdivision,30.210191728000034,31.211473790292484,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,188.84758,1.0296517109374039e-07,t of CH4 per MJ,1834091838.95855,MJ,175915465.67172,m^2,10.42598404839056,2024,egy_ch4_source.csv,,,,,,,,,,,
1293783,Kafr ad-Dawwar Subdivision,31.13221836100004,30.11068437623709,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,173.51098000000002,8.56772798862437e-08,t of CH4 per MJ,2025169102.36151,MJ,194242488.37272003,m^2,10.425984136259297,2024,egy_ch4_source.csv,,,,,,,,,,,
1293790,Al-Fayyum Subdivision,29.297048568500088,30.88945744233927,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,163.65193,9.683842931826207e-08,t of CH4 per MJ,1689948207.05067,MJ,162090042.8964,m^2,10.425984081766218,2024,egy_ch4_source.csv,,,,,,,,,,,
1293854,Unorganized in Al Jizah Subdivision,28.93517500300004,29.391422471861098,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,153.58176000000003,2.8126319001012945e-08,t of CH4 per MJ,5460428717.830759,MJ,523732694.2006801,m^2,10.425984053114073,2024,egy_ch4_source.csv,,,,,,,,,,,
1293849,Imbabah Subdivision,30.08389927450014,31.21177796093236,buildings,residential-onsite-fuel-usage,,gadm-aggregation,ch4,149.74605,8.688562201255507e-08,t of CH4 per MJ,1723484812.92292,MJ,165306680.84195998,m^2,10.425984020395658,2024,egy_ch4_source.csv,,,,,,,,,,,
