id,name,latitude,longitude,sector,subsector,assetType,sourceType,year,ch4_emissions,co2e_20yr_emissions,pm2_5_emissions,wte_class,waste_type,how_used,energy_generated,needed_hardware,wte_score,wte_confidence,wte_reason,second_best_wte_class,second_best_wte_score,classification_note
452341,Beni Suef power plant,28.921,31.0076,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,1358200.0,13.11,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",105.375,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,72.3,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
452593,Burullus power plant,31.5307,30.8067,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,1140700.0,14.37,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",105.206,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,72.165,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
452594,New Capital power station,29.9094,31.7558,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,1140700.0,14.37,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",105.206,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,72.165,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447824,Kuriemat power station,29.2718,31.225,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,869000.0,14.15,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",104.813,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,71.85,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447820,Cairo West II power plant,30.1384,31.1666,power,electricity-generation,gas,point-source,2026,0.0,821400.0,14.85,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",104.719,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,71.775,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25454654,South Helwan power station,29.8483,31.3369,power,electricity-generation,gas,point-source,2026,0.0,796900.0,13.14,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",104.607,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,71.685,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447832,Sidi Krir power plant,31.0444,29.6604,power,electricity-generation,"gas, other_fossil",point-source,2026,0.0,726400.0,12.56,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",104.532,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,71.625,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
732014,"Egyptian Ethylene and Derivatives, Alexandria",31.007524,29.834594,manufacturing,petrochemical-steam-cracking,Natural Gas Liquids,point-source,2026,258.36705,101263.9885583334,5.396944169999998,Pyrolysis,Plastic Waste,Sorted plastic is heated in low/no oxygen and vapors are condensed.,Synthetic oil + gas + process heat,"Sorting line, reactor, condenser, oil tank, safety PLC",104.109,Medium,Petrochemical/plastic-related source; Manufacturing source,Waste Recovery / RDF,101.386,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
452590,West Assiut power station,27.1824,31.0,power,electricity-generation,"oil, other_fossil",point-source,2026,0.0,272800.0,37.8,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",104.101,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,71.281,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
447813,Abu Qir power plant,31.2692,30.1423,power,electricity-generation,gas,point-source,2026,0.0,601300.0,11.38,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",103.989,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,71.191,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
25454232,Ain Sokhna power plant,29.6211,32.3546,power,electricity-generation,gas,point-source,2026,0.0,531300.0,8.76,Waste Recovery / RDF,Industrial Waste,"Dry combustible material is sorted, shredded and baled as RDF.",RDF fuel + heat/electricity,"MRF line, magnetic separator, RDF shredder, CEMS",103.689,High,Industrial/dry combustible waste or RDF-compatible source; Manufacturing/power sector,MRF + Waste-to-Energy,70.951,Opportunity classification based on source sector/subsector/name and relative emissions; not a direct waste measurement.
